month,weekday,is_holiday,site,hist_avg_tourists,hist_avg_temp,hist_avg_precip,hist_event_count,hist_trend_score,tourists,date,condition
1,2,0,Dehradun,196.42857142857142,22.58571428571429,2.328571428571429,0.0,38.714285714285715,217,2018-01-24,Suitable
1,3,0,Dehradun,179.0,25.785714285714285,3.3285714285714287,0.14285714285714285,44.857142857142854,240,2018-01-25,Suitable
1,4,1,Dehradun,196.71428571428572,24.057142857142857,2.9571428571428577,0.42857142857142855,61.57142857142857,156,2018-01-26,Mild
1,5,0,Dehradun,191.85714285714286,25.114285714285717,2.8285714285714287,0.14285714285714285,38.142857142857146,205,2018-01-27,Suitable
1,6,0,Dehradun,200.85714285714286,26.0,3.0714285714285716,0.0,49.57142857142857,227,2018-01-28,Suitable
1,0,0,Dehradun,201.57142857142858,24.442857142857143,3.3571428571428568,0.14285714285714285,44.0,161,2018-01-29,Mild
1,1,0,Dehradun,209.85714285714286,26.557142857142857,2.8428571428571425,0.2857142857142857,43.857142857142854,268,2018-01-30,Suitable
1,2,0,Dehradun,218.42857142857142,23.814285714285717,2.9428571428571426,0.14285714285714285,53.142857142857146,128,2018-01-31,Mild
2,3,0,Dehradun,195.28571428571428,30.585714285714285,3.3285714285714287,0.0,60.714285714285715,231,2018-02-01,Suitable
2,4,0,Dehradun,181.71428571428572,30.214285714285715,3.257142857142857,0.42857142857142855,45.285714285714285,215,2018-02-02,Suitable
2,5,0,Dehradun,193.71428571428572,29.042857142857144,3.2857142857142856,0.0,46.42857142857143,237,2018-02-03,Suitable
2,6,0,Dehradun,181.85714285714286,32.01428571428572,2.8857142857142857,0.0,52.0,248,2018-02-04,Suitable
2,0,0,Dehradun,206.28571428571428,30.442857142857143,3.042857142857143,0.2857142857142857,49.0,132,2018-02-05,Mild
2,1,0,Dehradun,216.14285714285714,30.314285714285717,2.7857142857142856,0.14285714285714285,58.714285714285715,201,2018-02-06,Suitable
2,2,0,Dehradun,187.0,30.24285714285714,2.8285714285714287,0.0,42.857142857142854,152,2018-02-07,Mild
2,3,0,Dehradun,185.71428571428572,28.6,3.0714285714285716,0.42857142857142855,45.0,189,2018-02-08,Mild
2,4,0,Dehradun,229.85714285714286,31.442857142857143,2.757142857142857,0.0,35.42857142857143,252,2018-02-09,Suitable
2,5,0,Dehradun,181.14285714285714,32.74285714285714,2.9857142857142853,0.14285714285714285,35.0,209,2018-02-10,Suitable
2,6,0,Dehradun,209.85714285714286,29.82857142857143,4.171428571428572,0.0,47.285714285714285,253,2018-02-11,Suitable
2,0,0,Dehradun,173.71428571428572,29.871428571428574,3.0142857142857147,0.14285714285714285,55.714285714285715,131,2018-02-12,Mild
2,1,1,Dehradun,189.14285714285714,32.528571428571425,3.1857142857142855,0.2857142857142857,37.285714285714285,226,2018-02-13,Suitable
2,2,0,Dehradun,181.42857142857142,30.0,2.6714285714285713,0.14285714285714285,42.57142857142857,212,2018-02-14,Suitable
2,3,0,Dehradun,200.85714285714286,29.82857142857143,3.528571428571428,0.0,39.857142857142854,176,2018-02-15,Mild
2,4,0,Dehradun,191.42857142857142,31.871428571428574,3.757142857142857,0.2857142857142857,42.714285714285715,179,2018-02-16,Mild
2,5,0,Dehradun,177.57142857142858,29.71428571428572,3.057142857142857,0.2857142857142857,54.0,164,2018-02-17,Mild
2,6,0,Dehradun,219.0,31.214285714285715,2.9,0.42857142857142855,55.42857142857143,319,2018-02-18,Overcrowded
2,0,0,Dehradun,230.71428571428572,30.199999999999996,2.7142857142857144,0.0,53.285714285714285,252,2018-02-19,Suitable
2,1,0,Dehradun,183.57142857142858,31.67142857142857,3.2571428571428567,0.14285714285714285,52.714285714285715,225,2018-02-20,Suitable
2,2,0,Dehradun,202.57142857142858,29.857142857142858,2.8857142857142857,0.14285714285714285,53.857142857142854,216,2018-02-21,Suitable
2,3,0,Dehradun,191.57142857142858,30.842857142857145,2.514285714285714,0.14285714285714285,48.57142857142857,306,2018-02-22,Overcrowded
2,4,0,Dehradun,192.28571428571428,31.41428571428571,3.2142857142857144,0.0,55.0,188,2018-02-23,Mild
2,5,0,Dehradun,203.71428571428572,30.82857142857143,3.2571428571428567,0.14285714285714285,44.57142857142857,187,2018-02-24,Mild
2,6,0,Dehradun,210.85714285714286,30.314285714285717,2.7857142857142856,0.14285714285714285,55.142857142857146,194,2018-02-25,Mild
2,0,0,Dehradun,179.28571428571428,30.142857142857142,3.3285714285714287,0.0,40.714285714285715,190,2018-02-26,Mild
2,1,0,Dehradun,241.14285714285714,29.17142857142857,3.342857142857142,0.2857142857142857,47.285714285714285,279,2018-02-27,Suitable
2,2,0,Dehradun,217.28571428571428,30.000000000000004,3.1999999999999997,0.14285714285714285,38.714285714285715,214,2018-02-28,Suitable
3,3,0,Dehradun,196.71428571428572,32.55714285714286,3.042857142857143,1.4285714285714286,44.285714285714285,171,2018-03-01,Mild
3,4,1,Dehradun,177.14285714285714,35.628571428571426,3.685714285714286,1.2857142857142858,50.142857142857146,159,2018-03-02,Mild
3,5,0,Dehradun,181.14285714285714,35.214285714285715,3.6142857142857143,1.2857142857142858,47.0,167,2018-03-03,Mild
3,6,0,Dehradun,221.42857142857142,32.75714285714286,2.6285714285714286,0.8571428571428571,57.0,201,2018-03-04,Suitable
3,0,0,Dehradun,212.42857142857142,31.3,2.9571428571428577,0.8571428571428571,56.0,186,2018-03-05,Mild
3,1,0,Dehradun,234.0,34.6,3.2857142857142856,0.42857142857142855,39.714285714285715,260,2018-03-06,Suitable
3,2,0,Dehradun,203.14285714285714,32.17142857142857,2.771428571428572,0.8571428571428571,55.714285714285715,165,2018-03-07,Mild
3,3,0,Dehradun,174.14285714285714,34.6,3.057142857142857,0.7142857142857143,56.857142857142854,231,2018-03-08,Suitable
3,4,0,Dehradun,199.42857142857142,33.785714285714285,3.2142857142857144,1.7142857142857142,55.285714285714285,128,2018-03-09,Mild
3,5,0,Dehradun,175.71428571428572,34.7,2.6000000000000005,0.42857142857142855,51.0,185,2018-03-10,Mild
3,6,0,Dehradun,226.71428571428572,32.471428571428575,3.428571428571428,1.2857142857142858,49.57142857142857,216,2018-03-11,Suitable
3,0,0,Dehradun,200.14285714285714,34.81428571428571,2.5285714285714285,0.42857142857142855,54.857142857142854,235,2018-03-12,Suitable
3,1,0,Dehradun,215.71428571428572,32.8,3.0714285714285716,1.0,58.714285714285715,224,2018-03-13,Suitable
3,2,0,Dehradun,217.14285714285714,35.44285714285714,3.185714285714286,1.0,42.285714285714285,260,2018-03-14,Suitable
3,3,0,Dehradun,204.14285714285714,33.44285714285714,3.9285714285714284,1.4285714285714286,33.857142857142854,192,2018-03-15,Mild
3,4,0,Dehradun,227.0,33.871428571428574,3.057142857142857,1.4285714285714286,43.714285714285715,217,2018-03-16,Suitable
3,5,0,Dehradun,192.71428571428572,34.028571428571425,2.8999999999999995,0.42857142857142855,49.714285714285715,134,2018-03-17,Mild
3,6,0,Dehradun,194.14285714285714,33.18571428571428,3.085714285714286,1.0,46.57142857142857,114,2018-03-18,Mild
3,0,0,Dehradun,223.71428571428572,33.628571428571426,3.4285714285714284,1.0,48.285714285714285,200,2018-03-19,Suitable
3,1,0,Dehradun,201.14285714285714,31.85714285714286,2.7714285714285714,0.42857142857142855,48.857142857142854,206,2018-03-20,Suitable
3,2,0,Dehradun,164.42857142857142,32.65714285714286,3.3714285714285714,1.0,43.285714285714285,217,2018-03-21,Suitable
3,3,0,Dehradun,228.57142857142858,35.84285714285714,2.7142857142857144,1.1428571428571428,53.57142857142857,251,2018-03-22,Suitable
3,4,0,Dehradun,191.57142857142858,33.285714285714285,3.057142857142857,0.5714285714285714,50.285714285714285,232,2018-03-23,Suitable
3,5,0,Dehradun,195.42857142857142,35.08571428571428,2.971428571428571,0.5714285714285714,47.285714285714285,113,2018-03-24,Mild
3,6,0,Dehradun,208.0,33.628571428571426,3.442857142857143,1.1428571428571428,41.42857142857143,275,2018-03-25,Suitable
3,0,0,Dehradun,220.85714285714286,33.6,2.6,1.7142857142857142,49.285714285714285,199,2018-03-26,Suitable
3,1,0,Dehradun,179.42857142857142,35.45714285714286,2.8571428571428568,1.0,40.857142857142854,135,2018-03-27,Mild
3,2,0,Dehradun,204.28571428571428,34.2,3.3285714285714287,1.0,46.714285714285715,237,2018-03-28,Suitable
3,3,1,Dehradun,191.71428571428572,33.699999999999996,2.614285714285714,1.2857142857142858,51.857142857142854,173,2018-03-29,Mild
3,4,1,Dehradun,197.14285714285714,32.457142857142856,3.0857142857142854,1.4285714285714286,68.42857142857143,203,2018-03-30,Suitable
3,5,0,Dehradun,230.71428571428572,36.31428571428571,2.6857142857142864,1.0,37.285714285714285,194,2018-03-31,Mild
4,6,0,Dehradun,283.57142857142856,33.55714285714286,2.8428571428571425,0.7142857142857143,58.0,273,2018-04-01,Suitable
4,0,0,Dehradun,282.85714285714283,34.9,3.142857142857143,0.8571428571428571,49.714285714285715,343,2018-04-02,Overcrowded
4,1,0,Dehradun,347.7142857142857,33.91428571428572,2.942857142857143,0.8571428571428571,51.0,376,2018-04-03,Overcrowded
4,2,0,Dehradun,293.7142857142857,33.75714285714286,3.2428571428571433,1.1428571428571428,52.714285714285715,247,2018-04-04,Suitable
4,3,0,Dehradun,315.57142857142856,36.642857142857146,3.314285714285714,1.0,45.0,300,2018-04-05,Suitable
4,4,0,Dehradun,277.2857142857143,33.71428571428571,3.8000000000000003,1.1428571428571428,57.42857142857143,281,2018-04-06,Suitable
4,5,0,Dehradun,319.2857142857143,34.75714285714286,3.1000000000000005,0.8571428571428571,40.0,301,2018-04-07,Suitable
4,6,0,Dehradun,295.57142857142856,34.8,3.142857142857143,0.42857142857142855,42.857142857142854,267,2018-04-08,Suitable
4,0,0,Dehradun,269.0,34.542857142857144,2.9285714285714284,1.2857142857142858,50.42857142857143,175,2018-04-09,Mild
4,1,0,Dehradun,290.57142857142856,34.042857142857144,2.9857142857142853,0.5714285714285714,56.57142857142857,325,2018-04-10,Overcrowded
4,2,0,Dehradun,321.0,34.17142857142857,2.2714285714285714,1.5714285714285714,41.285714285714285,267,2018-04-11,Suitable
4,3,0,Dehradun,314.2857142857143,34.542857142857144,2.8,0.5714285714285714,46.57142857142857,313,2018-04-12,Overcrowded
4,4,0,Dehradun,325.42857142857144,36.18571428571428,3.214285714285714,1.4285714285714286,45.857142857142854,439,2018-04-13,Overcrowded
4,5,1,Dehradun,300.42857142857144,33.199999999999996,4.028571428571429,1.2857142857142858,71.42857142857143,350,2018-04-14,Overcrowded
4,6,0,Dehradun,290.57142857142856,33.65714285714286,3.185714285714286,0.42857142857142855,48.0,211,2018-04-15,Suitable
4,0,0,Dehradun,281.0,33.471428571428575,3.485714285714286,0.7142857142857143,45.42857142857143,304,2018-04-16,Overcrowded
4,1,0,Dehradun,264.85714285714283,33.99999999999999,2.542857142857143,1.2857142857142858,50.42857142857143,270,2018-04-17,Suitable
4,2,0,Dehradun,264.7142857142857,35.31428571428571,3.3999999999999995,0.8571428571428571,60.142857142857146,344,2018-04-18,Overcrowded
4,3,0,Dehradun,247.42857142857142,34.65714285714286,3.371428571428571,0.5714285714285714,56.0,206,2018-04-19,Suitable
4,4,0,Dehradun,306.7142857142857,36.05714285714286,3.642857142857143,1.0,53.42857142857143,288,2018-04-20,Suitable
4,5,0,Dehradun,296.14285714285717,35.1,3.2714285714285714,1.2857142857142858,61.714285714285715,308,2018-04-21,Overcrowded
4,6,0,Dehradun,295.2857142857143,34.371428571428574,2.8857142857142857,1.0,30.714285714285715,309,2018-04-22,Overcrowded
4,0,0,Dehradun,290.85714285714283,35.18571428571429,2.685714285714286,0.42857142857142855,49.0,375,2018-04-23,Overcrowded
4,1,0,Dehradun,301.14285714285717,34.01428571428572,2.9285714285714284,1.2857142857142858,50.285714285714285,364,2018-04-24,Overcrowded
4,2,0,Dehradun,307.7142857142857,34.885714285714286,2.9571428571428577,1.0,44.714285714285715,321,2018-04-25,Overcrowded
4,3,0,Dehradun,298.0,35.971428571428575,3.3000000000000003,0.7142857142857143,44.142857142857146,309,2018-04-26,Overcrowded
4,4,0,Dehradun,297.57142857142856,34.971428571428575,3.1,1.2857142857142858,31.0,309,2018-04-27,Overcrowded
4,5,0,Dehradun,307.42857142857144,34.58571428571429,2.228571428571428,0.5714285714285714,52.0,311,2018-04-28,Overcrowded
4,6,0,Dehradun,292.57142857142856,34.97142857142857,3.0714285714285716,1.2857142857142858,44.714285714285715,309,2018-04-29,Overcrowded
4,0,1,Dehradun,310.0,34.214285714285715,2.7714285714285714,1.0,51.285714285714285,303,2018-04-30,Overcrowded
5,1,0,Dehradun,306.7142857142857,33.54285714285714,3.4,0.14285714285714285,43.57142857142857,354,2018-05-01,Overcrowded
5,2,0,Dehradun,325.2857142857143,33.58571428571429,2.9285714285714284,0.2857142857142857,46.285714285714285,364,2018-05-02,Overcrowded
5,3,0,Dehradun,287.7142857142857,33.04285714285714,2.3142857142857145,0.14285714285714285,54.142857142857146,288,2018-05-03,Suitable
5,4,0,Dehradun,346.85714285714283,34.58571428571429,2.7714285714285714,0.0,32.857142857142854,392,2018-05-04,Overcrowded
5,5,0,Dehradun,297.0,33.57142857142857,2.3714285714285714,0.2857142857142857,57.0,300,2018-05-05,Suitable
5,6,0,Dehradun,313.0,33.828571428571436,3.057142857142857,0.14285714285714285,40.857142857142854,310,2018-05-06,Overcrowded
5,0,0,Dehradun,342.2857142857143,32.99999999999999,3.3000000000000003,0.14285714285714285,47.0,428,2018-05-07,Overcrowded
5,1,0,Dehradun,313.0,31.61428571428571,2.414285714285714,0.42857142857142855,54.57142857142857,362,2018-05-08,Overcrowded
5,2,0,Dehradun,280.57142857142856,31.228571428571428,2.942857142857143,0.14285714285714285,41.57142857142857,230,2018-05-09,Suitable
5,3,0,Dehradun,291.2857142857143,32.47142857142857,3.314285714285714,0.0,48.857142857142854,324,2018-05-10,Overcrowded
5,4,0,Dehradun,291.14285714285717,34.528571428571425,2.742857142857143,0.14285714285714285,50.0,336,2018-05-11,Overcrowded
5,5,0,Dehradun,274.42857142857144,32.871428571428574,2.9857142857142853,0.14285714285714285,42.42857142857143,282,2018-05-12,Suitable
5,6,0,Dehradun,314.85714285714283,33.1,2.742857142857143,0.7142857142857143,43.714285714285715,382,2018-05-13,Overcrowded
5,0,0,Dehradun,308.57142857142856,31.74285714285714,2.7285714285714286,0.0,50.0,217,2018-05-14,Suitable
5,1,0,Dehradun,309.7142857142857,35.62857142857143,2.5,0.14285714285714285,53.142857142857146,222,2018-05-15,Suitable
5,2,0,Dehradun,261.7142857142857,34.0,2.9571428571428577,0.14285714285714285,44.57142857142857,212,2018-05-16,Suitable
5,3,0,Dehradun,323.14285714285717,33.957142857142856,3.4,0.0,61.285714285714285,282,2018-05-17,Suitable
5,4,0,Dehradun,295.57142857142856,34.371428571428574,2.8142857142857145,0.14285714285714285,43.42857142857143,269,2018-05-18,Suitable
5,5,0,Dehradun,302.57142857142856,31.999999999999996,2.871428571428571,0.0,48.57142857142857,310,2018-05-19,Overcrowded
5,6,0,Dehradun,279.85714285714283,34.357142857142854,3.414285714285714,0.42857142857142855,58.142857142857146,277,2018-05-20,Suitable
5,0,0,Dehradun,296.14285714285717,32.81428571428571,3.1999999999999997,0.0,55.142857142857146,208,2018-05-21,Suitable
5,1,0,Dehradun,299.14285714285717,33.65714285714286,3.2285714285714286,0.14285714285714285,55.57142857142857,283,2018-05-22,Suitable
5,2,0,Dehradun,258.85714285714283,32.614285714285714,2.2,0.14285714285714285,48.0,254,2018-05-23,Suitable
5,3,0,Dehradun,301.14285714285717,33.31428571428571,3.2714285714285714,0.2857142857142857,42.57142857142857,404,2018-05-24,Overcrowded
5,4,0,Dehradun,306.42857142857144,34.15714285714286,3.6142857142857148,0.14285714285714285,55.285714285714285,271,2018-05-25,Suitable
5,5,0,Dehradun,282.14285714285717,32.528571428571425,2.8857142857142857,0.0,46.857142857142854,282,2018-05-26,Suitable
5,6,0,Dehradun,264.85714285714283,33.97142857142857,3.0285714285714285,0.42857142857142855,52.0,269,2018-05-27,Suitable
5,0,0,Dehradun,264.7142857142857,35.07142857142857,3.1428571428571423,0.0,44.857142857142854,246,2018-05-28,Suitable
5,1,0,Dehradun,287.57142857142856,34.885714285714286,3.085714285714286,0.14285714285714285,48.142857142857146,296,2018-05-29,Suitable
5,2,0,Dehradun,332.42857142857144,32.957142857142856,3.3285714285714287,0.2857142857142857,63.0,328,2018-05-30,Overcrowded
5,3,0,Dehradun,268.57142857142856,33.885714285714286,3.1285714285714286,0.42857142857142855,56.142857142857146,224,2018-05-31,Suitable
6,4,0,Dehradun,265.2857142857143,30.571428571428573,3.0714285714285716,0.14285714285714285,48.714285714285715,246,2018-06-01,Suitable
6,5,0,Dehradun,321.85714285714283,28.5,3.5142857142857147,0.5714285714285714,52.857142857142854,347,2018-06-02,Overcrowded
6,6,0,Dehradun,297.2857142857143,29.3,3.4,0.2857142857142857,53.57142857142857,248,2018-06-03,Suitable
6,0,0,Dehradun,340.7142857142857,29.74285714285715,3.014285714285714,0.14285714285714285,53.142857142857146,372,2018-06-04,Overcrowded
6,1,0,Dehradun,302.7142857142857,30.685714285714287,2.871428571428571,0.14285714285714285,52.0,304,2018-06-05,Overcrowded
6,2,0,Dehradun,310.42857142857144,31.228571428571428,2.6,0.0,40.42857142857143,346,2018-06-06,Overcrowded
6,3,0,Dehradun,297.85714285714283,28.12857142857143,2.442857142857143,0.14285714285714285,48.57142857142857,279,2018-06-07,Suitable
6,4,0,Dehradun,265.7142857142857,30.25714285714286,2.9285714285714284,0.2857142857142857,52.857142857142854,203,2018-06-08,Suitable
6,5,0,Dehradun,282.14285714285717,29.44285714285714,3.3000000000000003,0.2857142857142857,44.0,292,2018-06-09,Suitable
6,6,0,Dehradun,286.14285714285717,30.828571428571426,3.5,0.14285714285714285,55.714285714285715,308,2018-06-10,Overcrowded
6,0,0,Dehradun,288.0,31.457142857142856,2.8285714285714287,0.14285714285714285,52.857142857142854,274,2018-06-11,Suitable
6,1,0,Dehradun,311.7142857142857,30.442857142857143,2.642857142857143,0.14285714285714285,39.142857142857146,371,2018-06-12,Overcrowded
6,2,0,Dehradun,273.42857142857144,28.61428571428571,3.7285714285714286,0.2857142857142857,57.142857142857146,265,2018-06-13,Suitable
6,3,0,Dehradun,303.14285714285717,31.32857142857143,2.185714285714286,0.2857142857142857,54.42857142857143,269,2018-06-14,Suitable
6,4,0,Dehradun,293.7142857142857,31.285714285714285,2.5571428571428574,0.0,49.0,257,2018-06-15,Suitable
6,5,1,Dehradun,311.57142857142856,30.071428571428573,2.442857142857143,0.2857142857142857,49.0,298,2018-06-16,Suitable
6,6,0,Dehradun,359.57142857142856,29.25714285714286,3.042857142857143,0.0,49.285714285714285,426,2018-06-17,Overcrowded
6,0,0,Dehradun,279.57142857142856,29.185714285714287,3.0142857142857147,0.2857142857142857,45.0,218,2018-06-18,Suitable
6,1,0,Dehradun,296.57142857142856,32.34285714285714,3.385714285714286,0.2857142857142857,57.142857142857146,341,2018-06-19,Overcrowded
6,2,0,Dehradun,304.7142857142857,30.071428571428573,3.0142857142857147,0.14285714285714285,53.57142857142857,268,2018-06-20,Suitable
6,3,0,Dehradun,315.42857142857144,30.17142857142857,2.557142857142857,0.2857142857142857,48.285714285714285,318,2018-06-21,Overcrowded
6,4,0,Dehradun,292.42857142857144,29.457142857142856,2.4428571428571426,0.14285714285714285,61.142857142857146,341,2018-06-22,Overcrowded
6,5,0,Dehradun,301.14285714285717,31.3,3.528571428571429,0.0,55.142857142857146,332,2018-06-23,Overcrowded
6,6,0,Dehradun,282.7142857142857,32.14285714285713,3.457142857142857,0.2857142857142857,44.142857142857146,327,2018-06-24,Overcrowded
6,0,0,Dehradun,311.85714285714283,31.099999999999998,3.357142857142857,0.14285714285714285,62.142857142857146,309,2018-06-25,Overcrowded
6,1,0,Dehradun,287.2857142857143,29.428571428571423,2.6714285714285713,0.0,34.0,307,2018-06-26,Overcrowded
6,2,0,Dehradun,316.57142857142856,30.314285714285717,2.9857142857142853,0.14285714285714285,37.857142857142854,318,2018-06-27,Overcrowded
6,3,0,Dehradun,301.85714285714283,30.871428571428574,3.042857142857143,0.0,43.714285714285715,272,2018-06-28,Suitable
6,4,0,Dehradun,320.14285714285717,28.714285714285715,3.314285714285714,0.14285714285714285,48.42857142857143,332,2018-06-29,Overcrowded
6,5,0,Dehradun,301.57142857142856,30.0,3.2142857142857144,0.42857142857142855,47.0,333,2018-06-30,Overcrowded
7,6,0,Dehradun,175.85714285714286,25.371428571428574,8.314285714285713,0.14285714285714285,54.57142857142857,245,2018-07-01,Suitable
7,0,0,Dehradun,208.57142857142858,26.885714285714283,8.014285714285714,0.14285714285714285,44.42857142857143,137,2018-07-02,Mild
7,1,0,Dehradun,194.0,23.514285714285716,8.285714285714286,0.14285714285714285,48.285714285714285,217,2018-07-03,Suitable
7,2,0,Dehradun,213.28571428571428,26.87142857142857,8.871428571428572,0.0,49.285714285714285,153,2018-07-04,Mild
7,3,0,Dehradun,181.14285714285714,27.342857142857145,7.842857142857143,0.14285714285714285,58.857142857142854,166,2018-07-05,Mild
7,4,0,Dehradun,192.42857142857142,25.171428571428574,7.414285714285713,0.2857142857142857,50.714285714285715,120,2018-07-06,Mild
7,5,0,Dehradun,220.14285714285714,25.314285714285717,7.700000000000001,0.2857142857142857,60.714285714285715,177,2018-07-07,Mild
7,6,0,Dehradun,200.14285714285714,22.985714285714288,8.142857142857142,0.0,49.57142857142857,219,2018-07-08,Suitable
7,0,0,Dehradun,181.42857142857142,25.728571428571428,8.371428571428572,0.0,49.42857142857143,200,2018-07-09,Suitable
7,1,0,Dehradun,176.42857142857142,26.342857142857145,7.742857142857142,0.14285714285714285,53.0,156,2018-07-10,Mild
7,2,0,Dehradun,208.0,24.542857142857144,8.685714285714287,0.14285714285714285,41.285714285714285,150,2018-07-11,Mild
7,3,0,Dehradun,159.14285714285714,24.742857142857144,7.771428571428572,0.2857142857142857,44.714285714285715,175,2018-07-12,Mild
7,4,0,Dehradun,212.28571428571428,23.400000000000002,8.871428571428572,0.14285714285714285,43.714285714285715,203,2018-07-13,Suitable
7,5,0,Dehradun,173.14285714285714,25.41428571428571,8.328571428571427,0.0,50.714285714285715,171,2018-07-14,Mild
7,6,0,Dehradun,220.85714285714286,24.185714285714283,8.885714285714286,0.2857142857142857,58.42857142857143,304,2018-07-15,Overcrowded
7,0,0,Dehradun,212.0,24.642857142857142,7.485714285714286,0.2857142857142857,53.714285714285715,148,2018-07-16,Mild
7,1,0,Dehradun,179.71428571428572,26.17142857142857,8.085714285714285,0.0,45.714285714285715,286,2018-07-17,Suitable
7,2,0,Dehradun,205.42857142857142,23.271428571428572,8.057142857142859,0.0,51.0,175,2018-07-18,Mild
7,3,0,Dehradun,221.0,26.67142857142857,8.0,0.14285714285714285,50.0,176,2018-07-19,Mild
7,4,0,Dehradun,211.71428571428572,25.271428571428576,8.371428571428572,0.2857142857142857,55.142857142857146,211,2018-07-20,Suitable
7,5,0,Dehradun,220.14285714285714,25.085714285714285,7.442857142857143,0.14285714285714285,54.0,118,2018-07-21,Mild
7,6,0,Dehradun,222.28571428571428,26.74285714285714,7.628571428571428,0.0,35.714285714285715,274,2018-07-22,Suitable
7,0,0,Dehradun,199.57142857142858,24.357142857142858,7.528571428571429,0.5714285714285714,57.857142857142854,216,2018-07-23,Suitable
7,1,0,Dehradun,185.0,25.557142857142853,7.82857142857143,0.0,48.0,88,2018-07-24,Mild
7,2,0,Dehradun,146.42857142857142,25.51428571428571,7.942857142857142,0.5714285714285714,52.714285714285715,135,2018-07-25,Mild
7,3,0,Dehradun,187.85714285714286,23.900000000000002,8.057142857142855,0.0,45.57142857142857,204,2018-07-26,Suitable
7,4,0,Dehradun,177.42857142857142,23.414285714285715,7.485714285714286,0.14285714285714285,51.42857142857143,232,2018-07-27,Suitable
7,5,0,Dehradun,219.0,26.9,8.357142857142858,0.14285714285714285,53.714285714285715,184,2018-07-28,Mild
7,6,0,Dehradun,192.71428571428572,25.800000000000004,7.957142857142857,0.42857142857142855,56.857142857142854,185,2018-07-29,Mild
7,0,0,Dehradun,205.71428571428572,24.37142857142857,8.042857142857143,0.14285714285714285,49.0,236,2018-07-30,Suitable
7,1,0,Dehradun,198.42857142857142,24.828571428571426,7.528571428571429,0.14285714285714285,59.142857142857146,171,2018-07-31,Mild
8,2,0,Dehradun,157.71428571428572,21.38571428571429,8.071428571428571,0.14285714285714285,51.57142857142857,95,2018-08-01,Mild
8,3,0,Dehradun,216.85714285714286,19.900000000000002,7.985714285714286,0.14285714285714285,47.857142857142854,255,2018-08-02,Suitable
