site,date,tourists,temp,precip,event_count,trend_score
Dehradun,2018-03-02,159,32.0,3.7,2,62
Dehradun,2018-03-03,167,37.1,4.6,1,41
Dehradun,2018-03-04,201,36.5,2.5,1,69
Dehradun,2018-03-05,186,31.8,4.9,1,71
Dehradun,2018-03-06,260,30.1,3.8,1,63
Dehradun,2018-03-07,165,33.6,0.9,1,85
Dehradun,2018-03-08,231,37.7,2.6,2,54
Dehradun,2018-03-09,128,29.4,2.3,2,46
Dehradun,2018-03-10,185,33.6,2.3,0,49
Dehradun,2018-03-11,216,31.2,3.5,1,81
Dehradun,2018-03-12,235,32.5,3.2,0,50
Dehradun,2018-03-13,224,33.8,5.3,1,58
Dehradun,2018-03-14,260,39.1,2.9,1,70
Dehradun,2018-03-15,192,29.6,4.0,0,14
Dehradun,2018-03-16,217,39.3,4.0,1,38
Dehradun,2018-03-17,134,39.2,4.2,1,41
Dehradun,2018-03-18,114,37.7,2.9,1,75
Dehradun,2018-03-19,200,33.8,2.5,1,62
Dehradun,2018-03-20,206,35.2,3.7,1,28
Dehradun,2018-03-21,217,31.4,4.6,2,52
Dehradun,2018-03-22,251,34.2,2.0,0,45
Dehradun,2018-03-23,232,37.8,2.0,0,64
Dehradun,2018-03-24,113,38.0,3.9,0,47
Dehradun,2018-03-25,275,33.9,4.6,2,22
Dehradun,2018-03-26,199,36.0,2.7,2,17
Dehradun,2018-03-27,135,35.7,3.4,0,31
Dehradun,2018-03-28,237,32.8,5.1,0,44
Dehradun,2018-03-29,173,31.3,2.9,0,29
Dehradun,2018-03-30,203,26.8,2.9,2,51
Dehradun,2018-03-31,194,33.0,3.6,0,65
Dehradun,2018-04-01,273,31.3,5.4,1,44
Dehradun,2018-04-02,343,32.0,3.0,1,69
Dehradun,2018-04-03,376,27.6,2.2,1,32
Dehradun,2018-04-04,247,33.0,2.2,2,43
Dehradun,2018-04-05,300,39.4,3.1,2,33
Dehradun,2018-04-06,281,33.0,4.4,1,24
Dehradun,2018-04-07,301,35.4,2.6,0,45
Dehradun,2018-04-08,267,33.5,2.4,0,33
Dehradun,2018-04-09,175,37.1,3.4,2,48
Dehradun,2018-04-10,325,32.1,3.1,1,65
Dehradun,2018-04-11,267,36.7,2.2,1,14
Dehradun,2018-04-12,313,32.3,3.6,0,17
Dehradun,2018-04-13,439,30.2,2.9,0,42
Dehradun,2018-04-14,350,33.3,3.8,2,27
Dehradun,2018-04-15,211,31.9,3.2,0,52
Dehradun,2018-04-16,304,34.5,4.2,0,55
Dehradun,2018-04-17,270,36.8,2.7,2,44
Dehradun,2018-04-18,344,34.0,4.2,1,42
Dehradun,2018-04-19,206,33.9,3.0,0,84
Dehradun,2018-04-20,288,37.5,3.9,1,52
Dehradun,2018-04-21,308,36.7,2.1,2,42
Dehradun,2018-04-22,309,35.7,2.5,0,33
Dehradun,2018-04-23,375,36.2,2.7,1,67
Dehradun,2018-04-24,364,33.7,2.6,2,39
Dehradun,2018-04-25,321,40.6,2.2,0,25
Dehradun,2018-04-26,309,37.5,2.1,1,4
Dehradun,2018-04-27,309,42.9,2.8,3,51
Dehradun,2018-04-28,311,36.3,3.3,1,27
Dehradun,2018-04-29,309,35.3,2.9,0,66
Dehradun,2018-04-30,303,38.3,1.3,0,81
Dehradun,2018-05-01,354,31.9,3.9,1,4
Dehradun,2018-05-02,364,31.2,1.5,0,45
Dehradun,2018-05-03,288,32.8,0.3,1,49
Dehradun,2018-05-04,392,37.0,2.7,0,28
Dehradun,2018-05-05,300,34.1,2.3,0,53
Dehradun,2018-05-06,310,33.2,2.4,0,39
Dehradun,2018-05-07,428,30.3,4.4,0,0
Dehradun,2018-05-08,362,27.4,2.7,1,43
Dehradun,2018-05-09,230,31.3,1.9,0,85
Dehradun,2018-05-10,324,31.3,2.9,0,51
Dehradun,2018-05-11,336,30.3,2.5,0,60
Dehradun,2018-05-12,282,33.0,3.8,1,31
Dehradun,2018-05-13,382,30.6,2.3,1,31
Dehradun,2018-05-14,217,39.0,1.8,0,34
Dehradun,2018-05-15,222,35.5,1.7,0,85
Dehradun,2018-05-16,212,32.0,4.0,0,49
Dehradun,2018-05-17,282,33.5,3.3,0,16
Dehradun,2018-05-18,269,32.4,1.7,0,52
Dehradun,2018-05-19,310,30.7,3.4,0,16
Dehradun,2018-05-20,277,35.2,4.6,0,81
Dehradun,2018-05-21,208,29.8,2.4,0,51
Dehradun,2018-05-22,283,34.3,1.6,0,62
Dehradun,2018-05-23,254,29.6,2.0,0,71
Dehradun,2018-05-24,404,32.7,3.1,0,54
Dehradun,2018-05-25,271,34.0,5.6,0,48
Dehradun,2018-05-26,282,34.4,3.2,0,43
Dehradun,2018-05-27,269,39.1,3.7,0,39
Dehradun,2018-05-28,246,36.4,1.2,0,73
Dehradun,2018-05-29,296,35.5,3.2,1,23
Dehradun,2018-05-30,328,36.9,3.8,0,59
Dehradun,2018-05-31,224,33.5,3.8,0,53
Dehradun,2018-06-01,246,33.2,3.0,1,64
Dehradun,2018-06-02,347,28.5,3.1,0,41
Dehradun,2018-06-03,248,33.8,2.7,0,53
Dehradun,2018-06-04,372,30.6,4.0,1,20
Dehradun,2018-06-05,304,33.2,2.5,0,78
Dehradun,2018-06-06,346,30.9,1.3,0,15
Dehradun,2018-06-07,279,29.2,1.7,0,32
Dehradun,2018-06-08,203,26.4,1.9,1,64
Dehradun,2018-06-09,292,27.5,5.3,0,37
Dehradun,2018-06-10,308,31.5,3.3,0,99
Dehradun,2018-06-11,274,28.2,3.6,0,38
Dehradun,2018-06-12,371,28.3,2.2,0,59
Dehradun,2018-06-13,265,27.9,5.4,0,69
Dehradun,2018-06-14,269,28.8,3.3,0,57
Dehradun,2018-06-15,257,30.3,1.3,0,25
Dehradun,2018-06-16,298,35.4,2.5,1,54
Dehradun,2018-06-17,426,28.4,2.5,0,71
Dehradun,2018-06-18,218,31.4,3.2,0,56
Dehradun,2018-06-19,341,31.5,4.1,0,73
Dehradun,2018-06-20,268,31.4,2.6,0,33
Dehradun,2018-06-21,318,28.8,3.0,0,76
Dehradun,2018-06-22,341,25.5,3.0,0,52
Dehradun,2018-06-23,332,36.5,2.7,0,54
Dehradun,2018-06-24,327,30.1,4.2,1,21
Dehradun,2018-06-25,309,31.2,2.8,0,42
Dehradun,2018-06-26,307,27.9,4.2,0,20
Dehradun,2018-06-27,318,28.4,2.9,0,9
Dehradun,2018-06-28,272,35.6,1.6,0,6
Dehradun,2018-06-29,332,33.0,4.1,0,76
Dehradun,2018-06-30,333,29.7,4.8,0,29
Dehradun,2018-07-01,245,24.4,7.3,0,37
Dehradun,2018-07-02,137,29.3,7.9,1,72
Dehradun,2018-07-03,217,26.4,8.6,0,59
Dehradun,2018-07-04,153,26.0,9.2,0,60
Dehradun,2018-07-05,166,30.4,8.0,0,21
Dehradun,2018-07-06,120,26.7,7.4,0,70
Dehradun,2018-07-07,177,17.7,6.4,0,65
Dehradun,2018-07-08,219,26.4,8.0,0,39
Dehradun,2018-07-09,200,21.5,9.5,0,68
Dehradun,2018-07-10,156,25.1,7.7,0,48
Dehradun,2018-07-11,150,24.2,9.8,0,63
Dehradun,2018-07-12,175,23.7,8.3,0,34
Dehradun,2018-07-13,203,23.1,8.7,0,58
Dehradun,2018-07-14,171,28.3,8.1,0,69
Dehradun,2018-07-15,304,22.9,9.7,0,54
Dehradun,2018-07-16,148,23.4,8.6,0,73
Dehradun,2018-07-17,286,26.3,8.0,0,52
Dehradun,2018-07-18,175,25.6,9.1,0,48
Dehradun,2018-07-19,176,29.7,6.8,1,21
Dehradun,2018-07-20,211,28.1,9.7,0,41
Dehradun,2018-07-21,118,23.3,8.8,0,54
Dehradun,2018-07-22,274,29.1,7.4,0,58
Dehradun,2018-07-23,216,24.1,6.3,1,49
Dehradun,2018-07-24,88,25.7,6.8,0,56
Dehradun,2018-07-25,135,28.5,7.5,1,57
Dehradun,2018-07-26,204,21.2,9.0,0,40
Dehradun,2018-07-27,232,20.8,7.2,0,60
Dehradun,2018-07-28,184,31.2,8.4,0,59
Dehradun,2018-07-29,185,26.1,7.7,0,39
Dehradun,2018-07-30,236,25.2,8.7,0,48
Dehradun,2018-07-31,171,25.0,8.1,1,59
Dehradun,2018-08-01,95,28.8,7.1,0,58
Dehradun,2018-08-02,255,16.9,8.6,1,29
Dehradun,2018-08-03,169,25.7,7.8,0,54
Dehradun,2018-08-04,198,26.0,9.0,0,56
Dehradun,2018-08-05,255,23.6,8.6,0,27
Dehradun,2018-08-06,161,20.9,9.0,0,45
Dehradun,2018-08-07,281,21.4,7.8,0,69
Dehradun,2018-08-08,252,21.7,8.7,0,63
Dehradun,2018-08-09,192,20.4,7.8,0,50
Dehradun,2018-08-10,136,15.1,7.1,0,81
Dehradun,2018-08-11,168,16.0,9.6,0,70
Dehradun,2018-08-12,88,18.0,8.1,0,73
Dehradun,2018-08-13,131,15.1,9.0,0,99
Dehradun,2018-08-14,234,21.7,7.7,1,58
Dehradun,2018-08-15,191,21.7,8.0,0,31
Dehradun,2018-08-16,151,16.7,8.2,0,78
Dehradun,2018-08-17,276,22.3,7.4,0,18
Dehradun,2018-08-18,228,17.1,8.1,0,23
Dehradun,2018-08-19,208,17.2,9.4,0,48
Dehradun,2018-08-20,206,18.7,8.1,1,61
Dehradun,2018-08-21,165,18.0,6.6,1,85
Dehradun,2018-08-22,138,17.9,7.3,1,68
Dehradun,2018-08-23,166,20.8,7.2,0,93
Dehradun,2018-08-24,226,17.8,7.6,0,59
Dehradun,2018-08-25,202,19.6,9.0,0,94
Dehradun,2018-08-26,273,14.9,8.3,0,50
Dehradun,2018-08-27,160,24.9,9.7,0,39
Dehradun,2018-08-28,215,18.4,6.4,0,61
Dehradun,2018-08-29,171,17.0,7.4,0,26
Dehradun,2018-08-30,162,20.1,7.4,0,64
Dehradun,2018-08-31,217,22.5,6.0,0,57
Dehradun,2018-09-01,335,22.2,2.7,0,85
Dehradun,2018-09-02,328,16.6,3.5,0,32
Dehradun,2018-09-03,254,16.6,4.6,0,44
Dehradun,2018-09-04,355,18.2,1.9,2,44
Dehradun,2018-09-05,304,20.0,2.3,0,55
Dehradun,2018-09-06,307,15.9,3.7,0,69
Dehradun,2018-09-07,246,13.7,2.3,1,45
Dehradun,2018-09-08,258,11.5,5.2,0,27
Dehradun,2018-09-09,300,18.9,3.1,0,48
Dehradun,2018-09-10,328,18.1,2.5,0,45
Dehradun,2018-09-11,327,13.6,3.0,0,50
Dehradun,2018-09-12,289,16.9,5.5,0,44
Dehradun,2018-09-13,301,12.4,1.9,0,44
Dehradun,2018-09-14,325,16.5,1.2,0,37
Dehradun,2018-09-15,253,15.9,1.8,0,62
Dehradun,2018-09-16,252,17.6,2.3,1,49
Dehradun,2018-09-17,272,15.1,2.6,0,36
Dehradun,2018-09-18,281,16.9,3.2,0,50
Dehradun,2018-09-19,223,19.1,3.5,0,96
Dehradun,2018-09-20,232,15.7,1.8,1,14
Dehradun,2018-09-21,271,8.6,2.5,0,58
Dehradun,2018-09-22,250,16.2,1.0,1,91
Dehradun,2018-09-23,240,16.2,4.2,0,33
Dehradun,2018-09-24,231,11.5,4.5,2,46
Dehradun,2018-09-25,357,13.0,1.4,1,42
Dehradun,2018-09-26,296,19.1,4.4,1,74
Dehradun,2018-09-27,268,16.8,1.8,0,51
Dehradun,2018-09-28,401,16.7,2.6,0,54
Dehradun,2018-09-29,260,20.2,2.0,0,23
Dehradun,2018-09-30,248,17.9,4.2,0,64
Dehradun,2018-10-01,330,18.9,1.7,0,40
Dehradun,2018-10-02,366,16.7,3.5,0,93
Dehradun,2018-10-03,373,20.4,3.7,1,62
Dehradun,2018-10-04,328,14.4,2.4,1,24
Dehradun,2018-10-05,329,15.4,2.5,0,43
Dehradun,2018-10-06,315,17.4,3.9,3,38
Dehradun,2018-10-07,288,19.8,3.5,2,65
Dehradun,2018-10-08,316,15.1,2.9,2,48
Dehradun,2018-10-09,362,15.1,3.3,1,84
Dehradun,2018-10-10,328,9.7,3.8,2,58
Dehradun,2018-10-11,287,14.9,3.8,1,31
Dehradun,2018-10-12,364,13.7,3.3,2,22
Dehradun,2018-10-13,360,13.2,2.9,1,50
Dehradun,2018-10-14,261,16.9,2.9,0,58
Dehradun,2018-10-15,277,12.5,2.2,3,8
Dehradun,2018-10-16,384,12.7,4.2,0,39
Dehradun,2018-10-17,272,22.7,2.4,1,54
Dehradun,2018-10-18,403,18.6,4.0,0,62
Dehradun,2018-10-19,300,18.9,4.1,2,37
Dehradun,2018-10-20,243,14.4,2.3,0,13
Dehradun,2018-10-21,324,10.9,3.2,1,62
Dehradun,2018-10-22,283,15.8,4.1,1,44
Dehradun,2018-10-23,237,16.0,1.6,0,27
Dehradun,2018-10-24,307,9.7,3.3,0,47
Dehradun,2018-10-25,352,14.4,2.6,1,58
Dehradun,2018-10-26,244,14.8,3.2,1,42
Dehradun,2018-10-27,345,17.3,3.4,0,28
Dehradun,2018-10-28,338,18.7,2.9,0,46
Dehradun,2018-10-29,318,14.3,2.2,1,32
Dehradun,2018-10-30,274,15.0,3.1,1,27
Dehradun,2018-10-31,312,15.3,3.7,0,52
Dehradun,2018-11-01,222,14.8,3.8,0,25
Dehradun,2018-11-02,233,23.6,3.1,0,57
Dehradun,2018-11-03,263,13.9,3.2,1,73
Dehradun,2018-11-04,321,18.4,3.2,1,43
Dehradun,2018-11-05,246,7.6,3.4,1,68
Dehradun,2018-11-06,331,22.5,3.0,2,35
Dehradun,2018-11-07,269,18.1,2.3,0,40
Dehradun,2018-11-08,306,21.2,3.3,2,45
Dehradun,2018-11-09,316,16.2,2.9,2,35
Dehradun,2018-11-10,315,14.1,2.6,2,73
Dehradun,2018-11-11,208,16.9,3.4,2,77
Dehradun,2018-11-12,303,18.9,3.5,1,33
Dehradun,2018-11-13,283,15.1,2.0,1,58
Dehradun,2018-11-14,301,20.6,2.9,3,59
Dehradun,2018-11-15,291,19.3,4.2,2,100
Dehradun,2018-11-16,260,18.1,3.3,2,56
Dehradun,2018-11-17,366,16.0,0.9,2,38
Dehradun,2018-11-18,327,13.8,2.4,0,42
Dehradun,2018-11-19,381,15.4,4.2,0,80
Dehradun,2018-11-20,295,20.0,3.0,0,53
Dehradun,2018-11-21,241,19.9,2.5,0,54
Dehradun,2018-11-22,280,17.9,2.5,2,66
Dehradun,2018-11-23,250,14.3,3.5,3,54
Dehradun,2018-11-24,320,15.6,3.7,0,88
Dehradun,2018-11-25,215,9.5,3.1,2,72
Dehradun,2018-11-26,273,16.1,3.3,0,54
Dehradun,2018-11-27,278,18.6,3.2,1,56
Dehradun,2018-11-28,344,14.8,3.7,0,42
Dehradun,2018-11-29,318,21.9,2.8,0,43
Dehradun,2018-11-30,206,15.5,1.4,0,66
Dehradun,2018-12-01,248,25.1,2.9,0,47
Dehradun,2018-12-02,204,18.6,2.3,1,51
Dehradun,2018-12-03,213,21.9,3.7,0,100
Dehradun,2018-12-04,167,14.5,3.5,1,77
Dehradun,2018-12-05,281,23.9,4.6,0,65
Dehradun,2018-12-06,152,20.1,2.7,0,2
Dehradun,2018-12-07,206,21.7,3.0,0,84
Dehradun,2018-12-08,195,19.4,2.6,0,6
Dehradun,2018-12-09,179,17.9,1.6,0,48
Dehradun,2018-12-10,155,18.0,2.8,0,50
Dehradun,2018-12-11,185,17.7,3.3,0,77
Dehradun,2018-12-12,219,19.5,2.2,0,46
Dehradun,2018-12-13,184,17.6,4.1,0,50
Dehradun,2018-12-14,180,18.0,1.6,0,13
Dehradun,2018-12-15,213,21.5,1.4,1,68
Dehradun,2018-12-16,176,20.4,4.6,0,68
Dehradun,2018-12-17,158,13.4,2.1,0,44
Dehradun,2018-12-18,193,20.2,2.8,1,37
Dehradun,2018-12-19,145,24.2,2.9,0,50
Dehradun,2018-12-20,210,22.3,3.4,0,63
Dehradun,2018-12-21,143,20.3,3.0,0,46
Dehradun,2018-12-22,334,18.5,1.0,0,65
Dehradun,2018-12-23,248,21.3,2.4,0,86
Dehradun,2018-12-24,153,16.7,2.7,0,79
Dehradun,2018-12-25,214,20.8,2.9,0,66
Dehradun,2018-12-26,108,23.5,4.6,0,66
Dehradun,2018-12-27,145,18.8,1.9,1,46
Dehradun,2018-12-28,266,24.2,2.4,0,46
Dehradun,2018-12-29,256,16.4,1.4,0,75
Dehradun,2018-12-30,199,20.8,2.2,0,58
Dehradun,2018-12-31,200,18.6,2.9,0,58
Dehradun,2019-01-01,196,23.9,2.7,0,82
Dehradun,2019-01-02,195,25.7,3.2,1,68
Dehradun,2019-01-03,123,20.5,3.5,0,9
Dehradun,2019-01-04,287,31.7,3.6,0,60
Dehradun,2019-01-05,147,22.4,1.7,1,33
Dehradun,2019-01-06,248,19.5,2.8,0,28
Dehradun,2019-01-07,73,24.1,4.1,0,89
Dehradun,2019-01-08,178,21.2,3.0,0,39
Dehradun,2019-01-09,213,26.4,4.1,0,52
Dehradun,2019-01-10,182,25.8,2.3,2,67
Dehradun,2019-01-11,219,24.9,4.1,0,49
Dehradun,2019-01-12,128,22.5,3.6,0,35
Dehradun,2019-01-13,93,34.4,4.1,1,54
Dehradun,2019-01-14,226,26.9,3.6,0,52
Dehradun,2019-01-15,258,24.4,2.9,0,70
Dehradun,2019-01-16,233,25.6,3.0,0,42
Dehradun,2019-01-17,248,28.3,2.6,0,35
Dehradun,2019-01-18,169,27.6,4.0,0,60
Dehradun,2019-01-19,226,27.1,3.4,0,38
Dehradun,2019-01-20,259,27.1,3.4,0,71
Dehradun,2019-01-21,159,24.9,1.4,0,17
Dehradun,2019-01-22,160,24.1,1.1,0,54
Dehradun,2019-01-23,273,25.0,2.8,0,52
Dehradun,2019-01-24,120,22.7,2.2,0,31
Dehradun,2019-01-25,192,27.1,2.7,0,63
Dehradun,2019-01-26,232,21.3,3.1,0,56
Dehradun,2019-01-27,157,26.0,3.0,0,70
Dehradun,2019-01-28,290,28.7,3.2,0,40
Dehradun,2019-01-29,242,26.7,3.2,0,77
Dehradun,2019-01-30,220,23.5,3.0,0,15
Dehradun,2019-01-31,217,22.2,2.4,0,50
Dehradun,2019-02-01,184,30.5,3.8,0,33
Dehradun,2019-02-02,186,27.7,3.7,0,40
Dehradun,2019-02-03,213,30.6,3.9,0,47
Dehradun,2019-02-04,197,35.9,4.6,0,23
Dehradun,2019-02-05,248,33.7,3.1,0,54
Dehradun,2019-02-06,210,29.1,2.6,0,53
Dehradun,2019-02-07,200,31.8,1.6,0,4
Dehradun,2019-02-08,130,25.8,4.2,1,44
Dehradun,2019-02-09,181,36.3,2.7,0,57
Dehradun,2019-02-10,122,32.5,3.4,0,32
Dehradun,2019-02-11,254,25.9,4.5,0,35
Dehradun,2019-02-12,184,31.8,2.5,0,47
Dehradun,2019-02-13,113,30.4,1.5,0,27
Dehradun,2019-02-14,189,27.0,0.4,0,46
Dehradun,2019-02-15,196,30.0,3.5,0,49
Dehradun,2019-02-16,141,33.3,3.7,0,64
Dehradun,2019-02-17,188,30.6,4.0,0,35
Dehradun,2019-02-18,138,25.6,3.2,1,51
Dehradun,2019-02-19,209,30.7,2.8,0,80
Dehradun,2019-02-20,180,29.5,2.3,0,34
Dehradun,2019-02-21,191,35.0,3.0,1,55
Dehradun,2019-02-22,137,28.2,2.6,0,44
Dehradun,2019-02-23,220,34.2,3.3,0,43
Dehradun,2019-02-24,279,27.0,2.2,1,25
Dehradun,2019-02-25,249,29.8,2.7,0,53
Dehradun,2019-02-26,146,29.5,3.0,0,62
Dehradun,2019-02-27,301,30.0,2.8,0,43
Dehradun,2019-02-28,309,24.3,2.4,0,48
Dehradun,2019-03-01,129,32.9,2.6,1,62
Dehradun,2019-03-02,120,35.0,5.0,0,23
Dehradun,2019-03-03,208,33.8,3.5,5,38
Dehradun,2019-03-04,196,29.9,2.0,2,67
Dehradun,2019-03-05,274,34.7,2.7,0,50
Dehradun,2019-03-06,231,33.0,3.6,0,25
Dehradun,2019-03-07,244,32.3,2.5,1,55
Dehradun,2019-03-08,305,32.9,2.6,1,37
Dehradun,2019-03-09,168,37.6,4.4,3,38
Dehradun,2019-03-10,166,36.0,1.0,1,68
Dehradun,2019-03-11,201,30.8,2.6,2,64
Dehradun,2019-03-12,227,41.6,2.2,0,69
Dehradun,2019-03-13,191,36.4,2.9,1,80
Dehradun,2019-03-14,137,34.8,3.9,0,42
Dehradun,2019-03-15,201,35.8,4.3,1,43
Dehradun,2019-03-16,252,35.9,2.0,2,58
Dehradun,2019-03-17,175,33.4,3.3,0,40
Dehradun,2019-03-18,235,26.0,2.3,0,30
Dehradun,2019-03-19,234,30.2,3.7,1,59
Dehradun,2019-03-20,260,30.7,2.5,1,59
Dehradun,2019-03-21,170,37.9,4.7,0,70
Dehradun,2019-03-22,290,34.8,3.5,2,39
Dehradun,2019-03-23,233,29.2,4.1,1,30
Dehradun,2019-03-24,300,43.0,3.6,3,46
Dehradun,2019-03-25,212,35.2,3.7,0,58
Dehradun,2019-03-26,173,35.3,1.7,4,26
Dehradun,2019-03-27,200,35.7,1.9,2,42
Dehradun,2019-03-28,197,35.0,3.8,3,30
Dehradun,2019-03-29,291,33.8,2.8,2,55
Dehradun,2019-03-30,176,31.1,3.7,2,42
Dehradun,2019-03-31,256,39.5,3.1,0,37
Dehradun,2019-04-01,249,30.9,1.5,1,72
Dehradun,2019-04-02,273,29.9,1.9,0,75
Dehradun,2019-04-03,327,34.5,4.4,1,73
Dehradun,2019-04-04,376,33.5,2.7,0,39
Dehradun,2019-04-05,317,34.9,3.0,0,35
Dehradun,2019-04-06,376,33.2,2.4,0,84
Dehradun,2019-04-07,225,33.0,2.9,0,21
Dehradun,2019-04-08,347,31.1,3.1,0,58
Dehradun,2019-04-09,273,34.2,4.7,1,77
Dehradun,2019-04-10,341,31.6,3.8,0,81
Dehradun,2019-04-11,333,30.4,2.8,2,56
Dehradun,2019-04-12,289,34.9,1.5,2,60
Dehradun,2019-04-13,281,36.3,2.1,2,47
Dehradun,2019-04-14,278,30.2,4.7,1,78
Dehradun,2019-04-15,275,35.8,3.3,1,45
Dehradun,2019-04-16,261,32.9,2.1,0,33
Dehradun,2019-04-17,385,34.1,4.6,0,70
Dehradun,2019-04-18,325,36.4,3.1,0,65
Dehradun,2019-04-19,371,37.0,3.2,0,84
Dehradun,2019-04-20,334,34.4,4.1,0,97
Dehradun,2019-04-21,341,34.2,4.1,1,63
Dehradun,2019-04-22,342,31.9,1.4,2,9
Dehradun,2019-04-23,273,37.6,2.6,0,49
Dehradun,2019-04-24,265,35.0,3.8,0,50
Dehradun,2019-04-25,275,39.3,1.7,0,66
Dehradun,2019-04-26,327,31.9,3.1,1,53
Dehradun,2019-04-27,250,31.6,3.1,1,17
Dehradun,2019-04-28,352,33.6,2.3,2,70
Dehradun,2019-04-29,304,28.3,2.8,1,33
Dehradun,2019-04-30,318,34.1,3.9,2,60
Dehradun,2019-05-01,245,34.7,2.0,0,61
Dehradun,2019-05-02,279,32.8,4.0,0,68
Dehradun,2019-05-03,286,34.9,2.2,0,44
Dehradun,2019-05-04,421,35.0,1.6,0,39
Dehradun,2019-05-05,306,35.0,0.9,0,78
Dehradun,2019-05-06,394,34.8,2.1,0,61
Dehradun,2019-05-07,351,32.9,3.5,0,94
Dehradun,2019-05-08,254,34.4,2.1,0,42
Dehradun,2019-05-09,276,29.8,2.9,0,54
Dehradun,2019-05-10,285,33.5,5.6,0,28
Dehradun,2019-05-11,245,36.2,4.2,1,53
Dehradun,2019-05-12,196,33.1,2.8,0,79
Dehradun,2019-05-13,260,33.5,4.2,1,41
Dehradun,2019-05-14,342,26.9,2.4,0,54
Dehradun,2019-05-15,285,37.7,1.9,0,36
Dehradun,2019-05-16,269,33.1,2.4,0,6
Dehradun,2019-05-17,364,36.6,2.8,0,92
Dehradun,2019-05-18,330,35.7,2.3,0,52
Dehradun,2019-05-19,370,34.9,3.8,0,62
Dehradun,2019-05-20,320,31.1,4.4,0,64
Dehradun,2019-05-21,308,33.3,3.4,0,54
Dehradun,2019-05-22,385,36.9,3.2,0,69
Dehradun,2019-05-23,295,30.0,2.0,0,69
Dehradun,2019-05-24,246,31.3,2.6,1,22
Dehradun,2019-05-25,255,38.2,3.5,0,71
Dehradun,2019-05-26,346,30.4,3.1,0,49
Dehradun,2019-05-27,241,31.0,3.6,0,31
Dehradun,2019-05-28,224,35.5,4.0,0,61
Dehradun,2019-05-29,265,35.4,3.3,0,39
Dehradun,2019-05-30,277,33.5,2.7,0,60
Dehradun,2019-05-31,305,32.9,3.7,1,44
